passenger_id,full_name,age,gender,phone_number
1,Aryan Maharaj,26,Other,7540137296
2,Udant Dewan,80,Male,9041322270
3,Gagan Sami,77,Other,8138409539
4,Ayushman Chander,37,Other,8817363615
5,Viraj Tiwari,35,Other,9962958940
6,Rushil Saini,61,Other,8338811290
7,Saumya Mall,57,Female,9791205006
8,Nathaniel Sami,67,Male,9222971316
9,Arunima Dugal,38,Male,8064746525
10,Gayathri Chaudry,12,Other,8452066459
11,Lajita Chatterjee,39,Other,9379074819
12,Hemangini Lalla,10,Male,7945826486
13,Tripti Yadav,17,Male,9710566582
14,Kritika Brar,14,Female,7289482182
15,Janaki Handa,75,Male,7304330003
16,Chakradev Kari,72,Male,8196050747
17,Fariq Kaul,26,Other,9315992115
18,Lajita Mall,70,Male,9452611418
19,Janya Gaba,62,Male,9031403296
20,Isha Kadakia,22,Other,7405126228
21,Ekbal Garg,55,Female,8851350739
22,Nihal Shere,69,Other,8765670844
23,Anamika Kanda,22,Male,7232663462
24,Daksh Karnik,53,Male,8729245242
25,Diya Rattan,34,Male,8067970820
26,Dominic Kakar,67,Male,9303329764
27,Simon Tata,33,Female,8811967841
28,Tara Dhar,41,Male,8986972437
29,Liam Koshy,80,Male,8903232052
30,Priya Rastogi,79,Male,7217275224
31,Theodore Devi,40,Male,7400560567
32,Gavin Batta,72,Female,8745535098
33,Michael Dutta,61,Male,7918037633
34,Devansh Rajan,58,Male,7707111048
35,Upadhriti Wadhwa,43,Female,8676848676
36,Advay Contractor,64,Other,8225136114
37,Harini Choudhury,72,Male,9387006772
38,Radhika Dugar,47,Male,7815605132
39,Aarush Lall,79,Male,7251183830
40,Yashica Cherian,17,Male,8346922426
41,Yashica Issac,71,Other,9509023674
42,Kashvi Edwin,30,Male,9281169403
43,Ekiya Suresh,20,Male,9181106786
44,Isaac Patil,18,Other,7294296873
45,Wriddhish Bhardwaj,61,Male,8010193046
46,Farhan Chada,41,Other,9446737272
47,Ekapad Walia,15,Other,9553440342
48,Kabir Soman,63,Other,7352116052
49,Alka Wable,76,Female,9506853388
50,Siddharth Zacharia,36,Other,8119980130
51,Devika Rastogi,40,Female,8349409434
52,Raksha Varughese,26,Other,8699887270
53,Jai Kota,48,Female,9772404776
54,Devansh Nigam,19,Male,8357970698
